JobID|JobIDRaw|Cluster|Partition|Account|Group|GID|User|UID|Submit|Eligible|Start|End|Elapsed|ExitCode|State|NNodes|NCPUS|ReqCPUS|ReqMem|ReqGRES|Timelimit|QOS|NodeList|JobName|NTasks
1083|1083|micro|normal|account2|user4|1004|user4|1004|2021-02-11T23:52:18|2021-02-11T23:52:18|2021-02-12T00:30:05|2021-02-12T00:39:53|00:09:48|0:0|COMPLETED|3|36|36|2800Mc||00:27:00|normal|n[1-3]|jobid_1083|
1084|1084|micro|normal|account2|user5|1005|user5|1005|2021-02-11T23:52:32|2021-02-11T23:52:32|2021-02-12T01:12:44|2021-02-12T01:26:11|00:13:27|0:0|COMPLETED|1|6|6|2800Mc||00:17:00|normal|m4|jobid_1084|
1085|1085|micro|normal|account2|user5|1005|user5|1005|2021-02-11T23:53:04|2021-02-11T23:53:04|2021-02-11T23:53:32|2021-02-11T23:53:32|00:00:00|0:0|COMPLETED|1|12|12|2800Mc|gpu:2|00:05:00|normal|g1|jobid_1085|
1086|1086|micro|normal|account2|user4|1004|user4|1004|2021-02-11T23:53:22|2021-02-11T23:53:22|2021-02-12T00:05:33|2021-02-12T00:05:34|00:00:01|0:0|COMPLETED|3|36|36|2800Mc||00:06:00|normal|n[1-3]|jobid_1086|
1087|1087|micro|normal|account1|user1|1001|user1|1001|2021-02-11T23:53:33|2021-02-11T23:53:33|2021-02-12T07:17:49|2021-02-12T07:17:49|00:00:00|0:0|COMPLETED|1|1|1|2800Mc||00:22:00|normal|m3|jobid_1087|
1088|1088|micro|normal|account1|user2|1002|user2|1002|2021-02-11T23:54:08|2021-02-11T23:54:08|2021-02-12T00:16:05|2021-02-12T00:30:05|00:14:00|0:0|COMPLETED|3|36|36|2800Mc||00:14:00|normal|n[1-3]|jobid_1088|
1089|1089|micro|normal|account2|user4|1004|user4|1004|2021-02-11T23:54:12|2021-02-11T23:54:12|2021-02-12T00:34:08|2021-02-12T00:35:28|00:01:20|0:0|COMPLETED|1|2|2|2800Mc|gpu:2|00:05:00|normal|g1|jobid_1089|
1090|1090|micro|normal|account2|user4|1004|user4|1004|2021-02-11T23:55:50|2021-02-11T23:55:50|2021-02-12T01:15:15|2021-02-12T01:20:26|00:05:11|0:0|COMPLETED|1|1|1|2800Mc||00:11:00|normal|m4|jobid_1090|
1091|1091|micro|normal|account1|user3|1003|user3|1003|2021-02-11T23:58:02|2021-02-11T23:58:02|2021-02-12T00:16:01|2021-02-12T00:36:54|00:20:53|0:0|COMPLETED|4|48|48|2800Mc||00:27:00|normal|m[1-4]|jobid_1091|
1092|1092|micro|normal|account2|user4|1004|user4|1004|2021-02-11T23:58:10|2021-02-11T23:58:10|2021-02-12T00:04:33|2021-02-12T00:08:58|00:04:25|0:0|COMPLETED|2|24|24|2800Mc||00:30:00|normal|b1,g1|jobid_1092|
